 Mach Number             (X)cp - Rocket          (X)cp - Nose/Body       (X)cp - Wing            (X)cp - Body-Wing      
 1.14900000000000E-0001  3.34869466399554E+0002  1.00972650591930E+0002  4.21895882294669E+0002  4.20285812867138E+0002 
 1.22560000000000E-0001  3.35335314762367E+0002  9.95825928567300E+0001  4.21895221167126E+0002  4.20284622216139E+0002 
 1.30220000000000E-0001  3.35802553269257E+0002  9.82329111563333E+0001  4.21894515550850E+0002  4.20283352066292E+0002 
 1.37880000000000E-0001  3.36264887611220E+0002  9.69233791301453E+0001  4.21893765093192E+0002  4.20282001903645E+0002 
 1.45540000000000E-0001  3.36727556161586E+0002  9.56537399847732E+0001  4.21892969417487E+0002  4.20280571179708E+0002 
 1.53200000000000E-0001  3.37190834515599E+0002  9.44237060859749E+0001  4.21892128122564E+0002  4.20279059310819E+0002 
 1.60860000000000E-0001  3.37654249304247E+0002  9.32329586457874E+0001  4.21891240782218E+0002  4.20277465677479E+0002 
 1.68520000000000E-0001  3.38117326870898E+0002  9.20811475106301E+0001  4.21890306944645E+0002  4.20275789623624E+0002 
 1.76180000000000E-0001  3.38579596542355E+0002  9.09678910557705E+0001  4.21889326131838E+0002  4.20274030455862E+0002 
 1.83840000000000E-0001  3.39040593261333E+0002  8.98927761910698E+0001  4.21888297838946E+0002  4.20272187442651E+0002 
 1.91500000000000E-0001  3.39499859732288E+0002  8.88553584823760E+0001  4.21887221533586E+0002  4.20270259813429E+0002 
 1.99160000000000E-0001  3.39956948190200E+0002  8.78551623923238E+0001  4.21886096655117E+0002  4.20268246757692E+0002 
 2.06820000000000E-0001  3.40411421872493E+0002  8.68916816436234E+0001  4.21884922613863E+0002  4.20266147424005E+0002 
 2.14480000000000E-0001  3.40862856253590E+0002  8.59643797071827E+0001  4.21883698790292E+0002  4.20263960918967E+0002 
 2.22140000000000E-0001  3.41310840086755E+0002  8.50726904166169E+0001  4.21882424534138E+0002  4.20261686306102E+0002 
 2.29800000000000E-0001  3.41754976287136E+0002  8.42160187098578E+0001  4.21881099163483E+0002  4.20259322604695E+0002 
 2.37460000000000E-0001  3.42194882682063E+0002  8.33937414976949E+0001  4.21879721963766E+0002  4.20256868788550E+0002 
 2.45120000000000E-0001  3.42630192648818E+0002  8.26052086581619E+0001  4.21878292186749E+0002  4.20254323784682E+0002 
 2.52780000000000E-0001  3.43060555655731E+0002  8.18497441547458E+0001  4.21876809049413E+0002  4.20251686471935E+0002 
 2.60440000000000E-0001  3.43485637719161E+0002  8.11266472754403E+0001  4.21875271732789E+0002  4.20248955679516E+0002 
 2.68100000000000E-0001  3.43905121786425E+0002  8.04351939887071E+0001  4.21873679380725E+0002  4.20246130185448E+0002 
 2.75760000000000E-0001  3.44318708052815E+0002  7.97746384114590E+0001  4.21872031098577E+0002  4.20243208714936E+0002 
 2.83420000000000E-0001  3.44726114219349E+0002  7.91442143832456E+0001  4.21870325951821E+0002  4.20240189938638E+0002 
 2.91080000000000E-0001  3.45127075696773E+0002  7.85431371399192E+0001  4.21868562964590E+0002  4.20237072470839E+0002 
 2.98740000000000E-0001  3.45521345760431E+0002  7.79706050791987E+0001  4.21866741118121E+0002  4.20233854867521E+0002 
 3.06400000000000E-0001  3.45908695659895E+0002  7.74258016097370E+0001  4.21864859349109E+0002  4.20230535624325E+0002 
 3.14060000000000E-0001  3.46288914686725E+0002  7.69078970745529E+0001  4.21862916547965E+0002  4.20227113174395E+0002 
 3.21720000000000E-0001  3.46661810203274E+0002  7.64160507390121E+0001  4.21860911556979E+0002  4.20223585886096E+0002 
 3.29380000000000E-0001  3.47027207635107E+0002  7.59494128329506E+0001  4.21858843168356E+0002  4.20219952060610E+0002 
 3.37040000000000E-0001  3.47384950429332E+0002  7.55071266360303E+0001  4.21856710122155E+0002  4.20216209929386E+0002 
 3.44700000000000E-0001  3.47734899980919E+0002  7.50883305950113E+0001  4.21854511104088E+0002  4.20212357651443E+0002 
 3.52360000000000E-0001  3.48076935528903E+0002  7.46921604613192E+0001  4.21852244743195E+0002  4.20208393310521E+0002 
 3.60020000000000E-0001  3.48410954024221E+0002  7.43177514370923E+0001  4.21849909609375E+0002  4.20204314912057E+0002 
 3.67680000000000E-0001  3.48736869970840E+0002  7.39642403178022E+0001  4.21847504210767E+0002  4.20200120379994E+0002 
 3.75340000000000E-0001  3.49054615241700E+0002  7.36307676195648E+0001  4.21845026990965E+0002  4.20195807553390E+0002 
 3.83000000000000E-0001  3.49364138870959E+0002  7.33164796793936E+0001  4.21842476326067E+0002  4.20191374182832E+0002 
 3.90660000000000E-0001  3.49665406823923E+0002  7.30205307168816E+0001  4.21839850521533E+0002  4.20186817926625E+0002 
 3.98320000000000E-0001  3.49958401746038E+0002  7.27420848461509E+0001  4.21837147808846E+0002  4.20182136346761E+0002 
 4.05980000000000E-0001  3.50243122692215E+0002  7.24803180273471E+0001  4.21834366341959E+0002  4.20177326904630E+0002 
 4.13640000000000E-0001  3.50519584837780E+0002  7.22344199474952E+0001  4.21831504193519E+0002  4.20172386956469E+0002 
 4.21300000000000E-0001  3.50787819172244E+0002  7.20035958211591E+0001  4.21828559350833E+0002  4.20167313748528E+0002 
 4.28960000000000E-0001  3.51047872177121E+0002  7.17870681020430E+0001  4.21825529711581E+0002  4.20162104411928E+0002 
 4.36620000000000E-0001  3.51299805488915E+0002  7.15840780974440E+0001  4.21822413079234E+0002  4.20156755957192E+0002 
 4.44280000000000E-0001  3.51543695548450E+0002  7.13938874782868E+0001  4.21819207158174E+0002  4.20151265268419E+0002 
 4.51940000000000E-0001  3.51779633237609E+0002  7.12157796783450E+0001  4.21815909548469E+0002  4.20145629097082E+0002 
 4.59600000000000E-0001  3.52007723504585E+0002  7.10490611771561E+0001  4.21812517740303E+0002  4.20139844055413E+0002 
 4.67260000000000E-0001  3.52228084978670E+0002  7.08930626620702E+0001  4.21809029108006E+0002  4.20133906609343E+0002 
 4.74920000000000E-0001  3.52440849575617E+0002  7.07471400658109E+0001  4.21805440903671E+0002  4.20127813070972E+0002 
