 Mach Number             (Cl)alpha - Rocket      (Cl)alpha - Nose/Body   (Cl)alpha - Wing        (Cl)alpha - Body-Wing  
 6.97060000000000E-0001  1.11138801415338E+0001  2.11933603224272E+0000  6.47768269817067E+0000  2.51686141112049E+0000 
 7.04720000000000E-0001  1.11337880806628E+0001  2.12492649295679E+0000  6.48799384691629E+0000  2.52086774078981E+0000 
 7.12380000000000E-0001  1.11545211144607E+0001  2.13080802794263E+0000  6.49868958599181E+0000  2.52502350052627E+0000 
 7.20040000000000E-0001  1.11760676170211E+0001  2.13696777195499E+0000  6.50977080794336E+0000  2.52932903712283E+0000 
 7.27700000000000E-0001  1.11984159831438E+0001  2.14339285974863E+0000  6.52123842022884E+0000  2.53378470316637E+0000 
 7.35360000000000E-0001  1.12215546290679E+0001  2.15007042607830E+0000  6.53309334574664E+0000  2.53839085724302E+0000 
 7.43020000000000E-0001  1.12454719932165E+0001  2.15698760569874E+0000  6.54533652337136E+0000  2.54314786414641E+0000 
 7.50680000000000E-0001  1.12701565369510E+0001  2.16413153336471E+0000  6.55796890849752E+0000  2.54805609508884E+0000 
 7.58340000000000E-0001  1.12955967453387E+0001  2.17148934383095E+0000  6.57099147359182E+0000  2.55311592791593E+0000 
 7.66000000000000E-0001  1.13217811279324E+0001  2.17904817185221E+0000  6.58440520875525E+0000  2.55832774732496E+0000 
