0.000000,0.466464
0.007660,0.531398
0.015320,0.505300
0.022980,0.488829
0.030640,0.476916
0.038300,0.467638
0.045960,0.460068
0.053620,0.453694
0.061280,0.448199
0.068940,0.443378
0.076600,0.439089
0.084260,0.435230
0.091920,0.431724
0.099580,0.428514
0.107240,0.425555
0.114900,0.422811
0.122560,0.420254
0.130220,0.417860
0.137880,0.415609
0.145540,0.413486
0.153200,0.411476
0.160860,0.409568
0.168520,0.407752
0.176180,0.406018
0.183840,0.404360
0.191500,0.402771
0.199160,0.401245
0.206820,0.399777
0.214480,0.398363
0.222140,0.396997
0.229800,0.395677
0.237460,0.394399
0.245120,0.393161
0.252780,0.391987
0.260440,0.390896
0.268100,0.389837
0.275760,0.388806
0.283420,0.387803
0.291080,0.386825
0.298740,0.385872
0.306400,0.384941
0.314060,0.384032
0.321720,0.383143
0.329380,0.382274
0.337040,0.381422
0.344700,0.380588
0.352360,0.379770
0.360020,0.378968
0.367680,0.378180
0.375340,0.377406
0.383000,0.376646
0.390660,0.375898
0.398320,0.375163
0.405980,0.374439
0.413640,0.373726
0.421300,0.373024
0.428960,0.372332
0.436620,0.371649
0.444280,0.370976
0.451940,0.370312
0.459600,0.369656
0.467260,0.369008
0.474920,0.368369
0.482580,0.367736
0.490240,0.367111
0.497900,0.366493
0.505560,0.365882
0.513220,0.365277
0.520880,0.364679
0.528540,0.364086
0.536200,0.363499
0.543860,0.362918
0.551520,0.362342
0.559180,0.361771
0.566840,0.361205
0.574500,0.360644
0.582160,0.360088
0.589820,0.359536
0.597480,0.358989
0.605140,0.358351
0.612800,0.357671
0.620460,0.356996
0.628120,0.356326
0.635780,0.355660
0.643440,0.354999
0.651100,0.354342
0.658760,0.353689
0.666420,0.353041
0.674080,0.352396
0.681740,0.351755
0.689400,0.351118
0.697060,0.350504
0.704720,0.349944
0.712380,0.349387
0.720040,0.348831
0.727700,0.348278
0.735360,0.347726
0.743020,0.347177
0.750680,0.346629
0.758340,0.346084
0.766000,0.345540
