0.000000,0.450288
0.007660,0.517291
0.015320,0.490967
0.022980,0.474300
0.030640,0.462227
0.038300,0.452812
0.045960,0.445124
0.053620,0.438645
0.061280,0.433057
0.068940,0.428152
0.076600,0.423785
0.084260,0.419854
0.091920,0.416282
0.099580,0.413009
0.107240,0.409992
0.114900,0.407193
0.122560,0.404584
0.130220,0.402140
0.137880,0.399842
0.145540,0.397673
0.153200,0.395620
0.160860,0.393670
0.168520,0.391814
0.176180,0.390042
0.183840,0.388346
0.191500,0.386721
0.199160,0.385160
0.206820,0.383658
0.214480,0.382209
0.222140,0.380812
0.229800,0.379460
0.237460,0.378151
0.245120,0.376883
0.252780,0.375680
0.260440,0.374560
0.268100,0.373472
0.275760,0.372414
0.283420,0.371383
0.291080,0.370379
0.298740,0.369399
0.306400,0.368443
0.314060,0.367508
0.321720,0.366594
0.329380,0.365700
0.337040,0.364824
0.344700,0.363966
0.352360,0.363124
0.360020,0.362298
0.367680,0.361487
0.375340,0.360691
0.383000,0.359908
0.390660,0.359138
0.398320,0.358380
0.405980,0.357634
0.413640,0.356900
0.421300,0.356176
0.428960,0.355462
0.436620,0.354759
0.444280,0.354064
0.451940,0.353379
0.459600,0.352703
0.467260,0.352034
0.474920,0.351374
0.482580,0.350721
0.490240,0.350076
0.497900,0.349438
0.505560,0.348807
0.513220,0.348182
0.520880,0.347563
0.528540,0.346951
0.536200,0.346344
0.543860,0.345743
0.551520,0.345148
0.559180,0.344558
0.566840,0.343973
0.574500,0.343393
0.582160,0.342817
0.589820,0.342246
0.597480,0.341680
0.605140,0.341023
0.612800,0.340325
0.620460,0.339631
0.628120,0.338942
0.635780,0.338258
0.643440,0.337578
0.651100,0.336902
0.658760,0.336231
0.666420,0.335563
0.674080,0.334900
0.681740,0.334241
0.689400,0.333585
0.697060,0.332952
0.704720,0.332374
0.712380,0.331798
0.720040,0.331224
0.727700,0.330653
0.735360,0.330083
0.743020,0.329515
0.750680,0.328949
0.758340,0.328385
0.766000,0.327823
